Eh	I	EH
cru	Ge	CROIRE|CROÎTRE
devoir	Vvn	DEVOIR
me	Pp	JE
mettre	Vvn	METTRE
autant	Rg	AUTANT
au-dessous	Rg	AU-DESSOUS
d'	S	DE
eux	Pp	EUX
,	Fw	,
qu'	Cs	QUE
ils	Pp	ILS
se	Pp	IL
mettaient	Vvc	METTRE
au-dessus	Rg	AU-DESSUS
de	S	DE
moi	Pp	JE
;	Fw	;
en	S	EN
conséquence	Nc	CONSÉQUENCE
,	Fw	,
lorsqu'	Cs	LORSQUE
ils	Pp	ILS
m'	Pp	JE
ont	Vuc	AVOIR
interrogé	Ge	INTERROGER
,	Fw	,
je	Pp	JE
leur	Pp	LEUR
ai	Vuc	AVOIR
dit	Ge	DIRE
que	Cs	QUE
je	Pp	JE
servais	Vvc	SERVIR
chez	S	CHEZ
une	Dn	UN
Dame	Nc	DAME
en	S	EN
qualité	Nc	QUALITÉ
d'	S	DE
intendant	Nc	INTENDANT
,	Fw	,
et	Cc	ET
que	Cs	QUE
Moron	Nc	Moron
remplissait	Vvc	REMPLIR
chez	S	CHEZ
la	Da	LE
même	Ag	MÊME
Dame	Nc	DAME
l'	Da	LE
office	Nc	OFFICE
de	S	DE
Marmiton	Nc	MARMITON
.	Fs	.
Voilà	Vvc	Voilà
une	Dn	UN
plaisante	Ag	PLAISANT
idée	Nc	IDÉE
!	Fs	!
D'après	Vvc	D'après
cela	Pd	CELA
,	Fw	,
ils	Pp	ILS
n'	Rp	NE
auront	Vuc	AVOIR
pas	Rg	PAS
voulu	Ge	VOULOIR
souper	Vvn	SOUPER
avec	S	AVEC
vous	Pp	VOUS
,	Fw	,
je	Pp	JE
gage	Vvc	GAGER
?	Fs	?
Vous	Pp	VOUS
devinez	Vvc	DEVINER
,	Fw	,
Milady	Nc	MILADY
;	Fw	;
on	Pp	ON
servait	Vvc	SERVIR
en	S	EN
ce	Dd	CE
moment	Nc	MOMENT
;	Fw	;
ils	Pp	ILS
avaient	Vuc	AVOIR
presque	Rg	PRESQUE
tous	Pi	TOUT
une	Dn	UN
faim	Nc	FAIM
de	S	DE
voyageurs	Nc	VOYAGEUR
,	Fw	,
c'	Pd	CE
est	Vuc	ÊTRE
tout	Pi	TOUT
dire	Vvn	DIRE
;	Fw	;
et	Cc	ET
pour	S	POUR
ne	Rp	NE
point	Rg	POINT
souper	Vvn	SOUPER
avec	S	AVEC
un	Dn	UN
intendant	Nc	INTENDANT
,	Fw	,
ils	Pp	ILS
ne	Rp	NE
se	Pp	IL
sont	Vuc	ÊTRE
point	Rg	POINT
mis	Ge	METTRE
à	S	À
table	Nc	TABLE
.	Fs	.
Voilà	Vvc	Voilà
,	Fw	,
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
en	S	EN
convenir	Vvn	CONVENIR
,	Fw	,
des	S+Da	DE+LE|DE+LES
gens	Nc	GENS|GENT
de	S	DE
qualité	Nc	QUALITÉ
un	Dn	UN
peu	Rg	PEU
difficiles	Ag	DIFFICILE
.	Fs	.
Des	S+Da	DE+LE|DE+LES
gens	Nc	GENS|GENT
de	S	DE
qualité	Nc	QUALITÉ
!	Fs	!
Ah	I	AH
!	Fs	!
Vous	Pp	VOUS
leur	Pp	LEUR
faites	Vvc	FAIRE
beaucoup	Rg	BEAUCOUP
d'	S	DE
honneur	Nc	HONNEUR
,	Fw	,
Madame	Nc	MADAME
;	Fw	;
leur	Ds	LEUR
conversation	Nc	CONVERSATION
nous	Pp	NOUS
a	Vuc	AVOIR
bientôt	Rg	BIENTÔT
décelé	Ge	DÉCELER
leur	Ds	LEUR
origine	Nc	ORIGINE
,	Fw	,
l'	Da	LE
un	Pi	UN
est	Vuc	ÊTRE
coiffeur	Nc	COIFFEUR
de	S	DE
son	Ds	SON
métier	Nc	MÉTIER
;	Fw	;
et	Cc	ET
celui	Pd	CELUI
là	Rg	LÀ
,	Fw	,
vous	Pp	VOUS
venez	Vvc	VENIR
de	S	DE
le	Pp	IL
voir	Vvn	VOIR
à	S	À
l'	Da	LE
instant	Nc	INSTANT
,	Fw	,
c'	Pd	CE
est	Vuc	ÊTRE
l'	Da	LE
insolent	Nc	INSOLENT
qui	Pr	QUI
vient	Vvc	VENIR
de	S	DE
vous	Pp	VOUS
appeler	Vvn	APPELER
mignonne	Nc	MIGNON|MIGNONNE
,	Fw	,
il	Pp	IL
ne	Rp	NE
s'	Pp	SE
est	Vuc	ÊTRE
servi	Ge	SERVIR
que	Cs	QUE
de	S	DE
termes	Nc	TERME
pris	Ge	PRENDRE
de	S	DE
fa	Nc	FA
profession	Nc	PROFESSION
.	Fs	.
L'	Da	LE
autre	Pi	AUTRE
qui	Pr	QUI
n'	Rp	NE
a	Vuc	AVOIR
parlé	Ge	PARLER
que	Cs	QUE
de	S	DE
mangeaille	Nc	MANGEAILLE
,	Fw	,
est	Vuc	ÊTRE
un	Dn	UN
Maître-d'Hôtel	Nc	Maître-d'Hôtel
ou	Cc	OU
un	Dn	UN
traiteur	Nc	TRAITEUR
;	Fw	;
et	Cc	ET
tenez	Vvc	TENIR
,	Fw	,
voilà	I	VOILÀ
Moron	Nc	Moron
,	Fw	,
qui	Pr	QUI
vous	Pp	VOUS
dira	Vvc	DIRE
que	Cs	QUE
le	Da	LE
troisième	Nc	TROISIÈME
lui	Pp	IL
a	Vuc	AVOIR
pris	Ge	PRENDRE
mesure	Vvc	MESURER
d'	S	DE
un	Dn	UN
habit	Nc	HABIT
.	Fs	.
Ah	I	AH
!	Fs	!
Mon	Ds	MON
Dieu	Nc	DIEU
!	Fs	!
Milady	Nc	MILADY
,	Fw	,
rien	Pi	RIEN
n'	Rp	NE
est	Vuc	ÊTRE
plus	Rg	PLUS
vrai	Ag	VRAI
.	Fs	.
Je	Pp	JE
servais	Vvc	SERVIR
alors	Rg	ALORS
chez	S	CHEZ
le	Da	LE
Comte	Nc	COMTE|COMTÉ
de	S	DE
Célicour	Nc	Célicour
,	Fw	,
et	Cc	ET
même	Rg	MÊME
cet	Dd	CE
habit	Nc	HABIT
était	Vuc	ÊTRE
si	Rg	SI
étroit	Ag	ÉTROIT
,	Fw	,
le	Da	LE
drôle	Nc	DRÔLE
avait	Vuc	AVOIR
tellement	Rg	TELLEMENT
épargné	Ge	ÉPARGNER
l'	Da	LE
étoffe	Nc	ÉTOFFE
,	Fw	,
qu'	Cs	QUE
il	Pp	IL
fut	Vuc	ÊTRE
soupçonné	Ge	SOUPÇONNER
,	Fw	,
avec	S	AVEC
raison	Nc	RAISON
,	Fw	,
d'	S	DE
en	Pp	EN
avoir	Vun	AVOIR
ardé	Ag	ardé
la	Da	LE
moitié	Nc	MOITIÉ
.	Fs	.
Mais	Cc	MAIS
,	Fw	,
Monseigneur	Nc	MONSEIGNEUR
,	Fw	,
vous	Pp	VOUS
oubliez	Vvc	OUBLIER
notre	Ds	NOTRE
baronne	Nc	BARON|BARONNE
,	Fw	,
qui	Pr	QUI
ne	Rp	NE
vit	Vvc	VIVRE|VOIR
qu'	Rg	QUE
au	S+Da	À+LE
milieu	Nc	MILIEU
des	S+Da	DE+LE|DE+LES
roses	Nc	ROSE|ROSÉ
.	Fs	.
Eh	I	EH
bien	Rg	BIEN
!	Fs	!
Cette	Dd	CE
Baronne	Nc	BARON|BARONNE
?	Fs	?
Malgré	Vvc	Malgré
les	Da	LE
agaceries	Nc	AGACERIE
qu'	Pr	QUE
elle	Pp	IL
m'	Pp	JE
a	Vuc	AVOIR
faites	Ge	FAIRE
,	Fw	,
cette	Dd	CE
Baronne	Nc	BARON|BARONNE
,	Fw	,
à	S	À
ce	Pd	CE
que	Pr	QUE
je	Pp	JE
crois	Vvc	CROIRE|CROÎTRE
,	Fw	,
n'	Rp	NE
est	Vuc	ÊTRE
qu'	Rg	QUE
une	Dn	UN
Marchande	Nc	MARCHAND
de	S	DE
Modes	Nc	MODE
.	Fs	.
Est	Vuc	ÊTRE
-ce	Vvc	-ce
que	Cs	QUE
parmi	S	PARMI
tout	Di	TOUT
ce	Dd	CE
monde	Nc	MONDE
il	Pp	IL
n'	Rp	NE
y	Pp	Y
a	Vuc	AVOIR
pas	Rg	PAS
une	Dn	UN
personne	Nc	PERSONNE
comme	Cs	COMME
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
?	Fs	?
Cette	Dd	CE
folle	Nc	FOLLE|FOU
de	S	DE
Présidente	Nc	Présidente
en	Pp	EN
est	Vuc	ÊTRE
vraiment	Rg	VRAIMENT
une	Pi	UN
:	Fw	:
elle	Pp	IL
a	Vuc	AVOIR
toute	Di	TOUT
la	Da	LE
morgue	Nc	MORGUE
de	S	DE
la	Da	LE
Magistrature	Nc	MAGISTRATURE
,	Fw	,
et	Cc	ET
sûrement	Rg	SÛREMENT
elle	Pp	IL
sera	Vuc	ÊTRE
plus	Rg	PLUS
punie	Ge	PUNIR
que	Cs	QUE
moi	Pp	JE
,	Fw	,
quand	Cs	QUAND
elle	Pp	IL
saura	Vvc	SAURER|SAVOIR
...	Fs	...
Il	Vvc	Il
faudrait	Vvc	FAILLIR|FALLOIR
les	Pp	ILS
avertir	Vvn	AVERTIR
de	S	DE
ce	Pd	CE
que	Pr	QUE
vous	Pp	VOUS
êtes	Vuc	ÊTRE
,	Fw	,
pour	S	POUR
qu'	Cs	QUE
on	Pp	ON
vous	Pp	VOUS
rendit	Vvc	RENDRE
enfin	Rg	ENFIN
ce	Pd	CE
qui	Pr	QUI
vous	Pp	VOUS
est	Vuc	ÊTRE
dû	Ge	DEVOIR
.	Fs	.
Ne	Rp	NE
ferais	Vvc	FAIRE|FERRER
-je	Vvn	-je
pas	Rg	PAS
bien	Rg	BIEN
de	S	DE
vous	Pp	VOUS
nommer	Vvn	NOMMER
devant	S	DEVANT
tout	Di	TOUT
ce	Dd	CE
monde	Nc	MONDE
?	Fs	?
Gardez	Vvc	GARDER
-vous	Nc	-vous
-en	Vvc	-en
bien	Rg	BIEN
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
je	Pp	JE
ne	Rp	NE
désire	Vvc	DÉSIRER
point	Rg	POINT
d'	S	DE
en	Pp	EN
être	Vun	ÊTRE
connu	Ge	CONNAÎTRE
.	Fs	.
Soit	Vuc	ÊTRE
.	Fs	.
D'ailleurs	Nc	D'ailleurs
,	Fw	,
il	Pp	IL
me	Pp	JE
parait	Vvc	PARAÎTRE|PARER
juste	Rg	JUSTE
de	S	DE
les	Pp	ILS
punir	Vvn	PUNIR
,	Fw	,
en	Pp	EN
ne	Rp	NE
leur	Pp	LEUR
disant	Ga	DIRE
pas	Rg	PAS
qui	Pr	QUI
nous	Pp	NOUS
sommes	Vuc	ÊTRE
.	Fs	.
Les	Da	LE
voici	S	VOICI
tous	Pi	TOUT
:	Fw	:
il	Pp	IL
est	Vuc	ÊTRE
temps	Nc	TEMPS
de	S	DE
nous	Pp	NOUS
mettre	Vvn	METTRE
à	S	À
table	Nc	TABLE
:	Fw	:
Milord	Nc	MILORD
ne	Rp	NE
demande	Vvc	DEMANDER
pas	Rg	PAS
mieux	Rg	MIEUX
,	Fw	,
à	S	À
ce	Pd	CE
qu'	Pr	QUE
il	Pp	IL
me	Pp	JE
semble	Vvc	SEMBLER
:	Fw	:
recevons	Vvc	RECEVOIR
-les	Vvn	-les
donc	Rg	DONC
en-mangeant	Ga	en-mangeant
,	Fw	,
et	Cc	ET
ne	Rp	NE
craignez	Vvc	CRAINDRE
pas	Rg	PAS
qu'	Cs	QUE
ils	Pp	ILS
daignent	Vvc	DAIGNER
nous	Pp	NOUS
faire	Vvn	FAIRE
l'	Da	LE
honneur	Nc	HONNEUR
de	S	DE
souper	Nc	SOUPER
avec	S	AVEC
nous	Pp	NOUS
.	Fs	.
Milord	Nc	MILORD
,	Fw	,
Milady	Nc	MILADY
,	Fw	,
le	Pp	IL
Prince	Vvc	Prince
se	Pp	IL
mettant	Ga	METTRE
à	S	À
table	Nc	TABLE
;	Fw	;
Moron	Nc	Moron
les	Pp	ILS
sert	Vvc	SERVIR
,	Fw	,
une	Dn	UN
serviette	Nc	SERVIETTE
sous	S	SOUS
le	Da	LE
bras	Nc	BRAS
,	Fw	,
Milord	Vvc	Milord
,	Fw	,
selon	S	SELON
sa	Ds	SON
coutume	Nc	COUTUME
,	Fw	,
mange	Vvc	MANGER
sans	S	SANS
rien	Pi	RIEN
dire	Vvn	DIRE
.	Fs	.
Eh	I	EH
bìen	Ag	bìen
!	Fs	!
Monsieur	Nc	MONSIEUR
l'	Da	LE
intendant	Nc	INTENDANT
!	Fs	!
Est	Vuc	ÊTRE
-ce	Vvc	-ce
que	Cs	QUE
vous	Pp	VOUS
n'	Rp	NE
avez	Vuc	AVOIR
pas	Rg	PAS
encore	Rg	ENCORE
soupé	Ge	SOUPER
?	Fs	?
LE	Pp	IL
Non	Vvc	Non
,	Fw	,
assurément	Rg	ASSURÉMENT
;	Fw	;
je	Pp	JE
commence	Vvc	COMMENCER
à	S	À
peine	Nc	PEINE
de	S	DE
manger	Vvn	MANGER
,	Fw	,
et	Cc	ET
il	Pp	IL
n'	Rp	NE
y	Pp	Y
a	Vuc	AVOIR
pas	Rg	PAS
apparence	Nc	APPARENCE
que	Pr	QUE
j'	Pp	JE
aie	Vuc	AVOIR
fini	Ge	FINIR
si	Rg	SI
tôt	Rg	TÔT
.	Fs	.
Il	Pp	IL
est	Vuc	ÊTRE
temps	Nc	TEMPS
néanmoins	Rg	NÉANMOINS
que	Cs	QUE
vous	Pp	VOUS
finissiez	Vvc	FINIR
:	Fw	:
la	Da	LE
promenade	Nc	PROMENADE
que	Pr	QUE
nous	Pp	NOUS
venoNS	Vvc	VENIR
de	S	DE
faire	Vvn	FAIRE
a	Vuc	AVOIR
redoublé	Ge	REDOUBLER
notre	Ds	NOTRE
appétit	Nc	APPÉTIT
,	Fw	,
et	Cc	ET
nous	Pp	NOUS
ne	Rp	NE
pouvons	Vvc	POUVOIR
plus	Rg	PLUS
attendre	Vvn	ATTENDRE
.	Fs	.
Morbleu	Nc	Morbleu
!	Fs	!
Je	Pp	JE
mangerais	Vvc	MANGER
des	Dn	UN
pierres	Nc	PIERRE
.	Fs	.
Je	Pp	JE
sens	Vvc	SENTIR
que	Cs	QUE
je	Pp	JE
vais	Vvc	ALLER
dévorer	Vvn	DÉVORER
.	Fs	.
Je	Pp	JE
meurs	Vvc	MOURIR
de	S	DE
besoin	Nc	BESOIN
.	Fs	.
Je	Pp	JE
suis	Vuc	ÊTRE
bien	Rg	BIEN
fâché	Ge	FÂCHER
,	Fw	,
Messieurs	Nc	MONSIEUR
et	Cc	ET
Madame	Nc	MADAME
,	Fw	,
de	S	DE
voir	Vvn	VOIR
que	Cs	QUE
la	Da	LE
faim	Nc	FAIM
vous	Pp	VOUS
presse	Vvc	PRESSER
au	S+Da	À+LE
point	Rg	POINT
que	Cs	QUE
vous	Pp	VOUS
le	Pp	IL
dites	Vvc	DIRE
;	Fw	;
mais	Cc	MAIS
il	Pp	IL
est	Vuc	ÊTRE
certain	Ag	CERTAIN
qu'	Cs	QUE
elle	Pp	IL
va	Vvc	ALLER
vous	Pp	VOUS
presser	Vvn	PRESSER
bien	Rg	BIEN
davantage	Rg	DAVANTAGE
,	Fw	,
car	Cc	CAR
mon	Ds	MON
habitude	Nc	HABITUDE
,	Fw	,
quand	Cs	QUAND
je	Pp	JE
suis	Vuc	ÊTRE
en	S	EN
route	Nc	ROUTE
,	Fw	,
est	Vuc	ÊTRE
de	S	DE
passer	Vvn	PASSER
la	Da	LE
nuit	Nc	NUIT
à	S	À
table	Nc	TABLE
.	Fs	.
Miséricorde	Vvc	Miséricorde
!	Fs	!
La	Da	LE
nuit	Nc	NUIT
à	S	À
table	Nc	TABLE
!	Fs	!
Ma	Ds	MON
chère	Ag	CHER
dinde	Nc	DINDE
aux	S+Da	À+LES
truffes	Nc	TRUFFE
!	Fs	!
C'	Pd	CE
est	Vuc	ÊTRE
donc	Rg	DONC
en	S	EN
vain	Ag	VAIN
que	Cs	QUE
j'	Pp	JE
avais	Vuc	AVOIR
jeté	Ge	JETER
sur	S	SUR
toi	Pp	TU
un	Dn	UN
dévolu	Nc	DÉVOLU
?	Fs	?
La	Da	LE
nuit	Nc	NUIT
à	S	À
table	Nc	TABLE
!	Fs	!
Et	Cc	ET
il	Pp	IL
faudra	Vvc	FAILLIR|FALLOIR
que	Cs	QUE
durant	S	DURANT
cet	Dd	CE
intervalle	Nc	INTERVALLE
,	Fw	,
nous	Pp	NOUS
regardions	Vvc	REGARDER
souper	Vvn	SOUPER
Monsieur	Nc	MONSIEUR
l'	Da	LE
Intendant	Nc	INTENDANT
.	Fs	.
Monsieur	Nc	MONSIEUR
l'	Da	LE
Intendant	Nc	INTENDANT
se	Pp	IL
donne	Vvc	DONNER
des	Dn	UN
airs	Nc	AIR
de	S	DE
Prince	Nc	PRINCE
;	Fw	;
il	Pp	IL
a	Vuc	AVOIR
un	Dn	UN
grand	Ag	GRAND
couvert	Nc	COUVERT
comme	S	COMME
eux	Pp	EUX
.	Fs	.
Qu'	Cs	QUE
y	Pp	Y
a-t-il	V	AVOIR
donc	Rg	DONC
là	Rg	LÀ
de	S	DE
si	Rg	SI
nouveau	Ag	NOUVEAU
?	Fs	?
Monsieur	Nc	MONSIEUR
l'	Da	LE
Intendant	Nc	INTENDANT
se	Pp	IL
donne	Vvc	DONNER
des	Dn	UN
airs	Nc	AIR
...	Fs	...
À	Nc	À
part	Nc	PART
.	Fs	.
de	S	DE
ce	Pd	CE
qu'	Pr	QUE
il	Pp	IL
est	Vuc	ÊTRE
.	Fs	.
Il	Pp	IL
n'	Rp	NE
est	Vuc	ÊTRE
pas	Rg	PAS
jusqu'	S	JUSQUE
à	S	À
Monsieur	Nc	MONSIEUR
le	Da	LE
Marmiton	Nc	MARMITON
,	Fw	,
qui	Pr	QUI
veuille	Vvc	VOULOIR
aussi	Rg	AUSSI
se	Pp	IL
donner	Vvn	DONNER
des	Dn	UN
airs	Nc	AIR
.	Fs	.
Il	Pp	IL
est	Vuc	ÊTRE
temps	Nc	TEMPS
de	S	DE
rabattre	Vvn	RABATTRE
ce	Dd	CE
caquet	Nc	CAQUET
;	Fw	;
où	Pr	OÙ
est	Vuc	ÊTRE
l'	Da	LE
hôtesse	Nc	HÔTE|HÔTESSE
?	Fs	?
Me	Pp	JE
voilà	S	VOILÀ
,	Fw	,
Monsieur	Nc	MONSIEUR
:	Fw	:
qu'	Pr	QUE
est	Vuc	ÊTRE
-ce	Vvc	-ce
qu'	Cs	QUE
il	Pp	IL
y	Pp	Y
a	Vuc	AVOIR
pour	S	POUR
votre	Ds	VOTRE
service	Nc	SERVICE
?	Fs	?
Il	Pp	IL
est	Vuc	ÊTRE
indécent	Ag	INDÉCENT
,	Fw	,
Madame	Nc	MADAME
l'	Da	LE
hôtesse	Nc	HÔTE|HÔTESSE
,	Fw	,
qu'	Cs	QUE
un	Dn	UN
homme	Nc	HOMME
comme	S	COMME
Monsieur	Nc	MONSIEUR
,	Fw	,
reste	Vvc	RESTER
si	Rg	SI
longtemps	Rg	LONGTEMPS
à	S	À
table	Nc	TABLE
;	Fw	;
et	Cc	ET
surtout	Rg	SURTOUT
,	Fw	,
qu'	Cs	QUE
il	Pp	IL
fasse	Vvc	FAIRE
attendre	Vvn	ATTENDRE
des	Dn	UN
gens	Nc	GENS|GENT
comme	S	COMME
nous	Pp	NOUS
.	Fs	.
Voilà	Vvc	Voilà
,	Fw	,
près	Rg	PRÈS
d'	S	DE
une	Dn	UN
heure	Nc	HEURE|HURE
qu'	Pr	QUE
il	Pp	IL
mange	Vvc	MANGER
,	Fw	,
ou	Cc	OU
plutôt	Rg	PLUTÔT
,	Fw	,
c'	Pd	CE
est	Vuc	ÊTRE
pour	S	POUR
la	Da	LE
deuxième	Nc	DEUXIÈME
fois	Nc	FOI|FOIS
qu'	Pr	QUE
il	Pp	IL
soupe	Vvc	SOUPER
,	Fw	,
et	Cc	ET
nous	Pp	NOUS
n'	Rp	NE
ayons	Vuc	AVOIR
rien	Pi	RIEN
pris	Ge	PRENDRE
depuis	S	DEPUIS
dîner	Vvn	DÎNER
.	Fs	.
J'	Pp	JE
ai	Vuc	AVOIR
fait	Ge	FAIRE
la	Da	LE
folie	Nc	FOLIE
de	S	DE
ne	Rp	NE
pas	Rg	PAS
dîner	Vvn	DÎNER
,	Fw	,
pour	S	POUR
souper	Vvn	SOUPER
davantage	Rg	DAVANTAGE
,	Fw	,
et	Cc	ET
j'	Pp	JE
en	Pp	EN
mourrai	Vvc	MOURIR
si	Cs	SI
je	Pp	JE
ne	Rp	NE
mange	Vvc	MANGER
pas	Rg	PAS
à	S	À
l'	Da	LE
heure	Nc	HEURE|HURE
même	Ag	MÊME
.	Fs	.
Je	Pp	JE
veux	Vvc	VOULOIR
tien	Ag	TIEN
croire	Vvn	CROIRE
,	Fw	,
Monsieur	Nc	MONSIEUR
et	Cc	ET
Madame	Nc	MADAME
,	Fw	,
que	Cs	QUE
vous	Pp	VOUS
êtes	Vuc	ÊTRE
des	Dn	UN
gens	Nc	GENS|GENT
de	S	DE
la	Da	LE
plus	Rg	PLUS
grande	Ag	GRAND
distinction	Nc	DISTINCTION
,	Fw	,
et	Cc	ET
que	Cs	QUE
votre	Ds	VOTRE
rang	Nc	RANG
ne	Rp	NE
vous	Pp	VOUS
permet	Vvc	PERMETTRE
pas	Rg	PAS
de	S	DE
manger	Vvn	MANGER
avec	S	AVEC
Monsieur	Nc	MONSIEUR
;	Fw	;
mais	Cc	MAIS
,	Fw	,
ma	Ds	MON
foi	Nc	FOI
,	Fw	,
en	S	EN
route	Nc	ROUTE
,	Fw	,
tout	Di	TOUT
le	Da	LE
monde	Nc	MONDE
est	Vuc	ÊTRE
égal	Ag	ÉGAL
,	Fw	,
et	Cc	ET
...	Fw	...
Comment	Vvc	Comment
!	Fs	!
Tout	Di	TOUT
le	Da	LE
monde	Nc	MONDE
est	Vuc	ÊTRE
égal	Ag	ÉGAL
!	Fs	!
Vous	Pp	VOUS
pensez	Vvc	PENSER
qu'	Cs	QUE
une	Dn	UN
Baronne	Nc	BARON|BARONNE
comme	S	COMME
Madame	Nc	MADAME
,	Fw	,
que	Cs	QUE
des	Dn	UN
gens	Nc	GENS|GENT
de	S	DE
qualité	Nc	QUALITÉ
comme	S	COMME
ces	Dd	CE
Messieurs	Nc	MONSIEUR
,	Fw	,
et	Cc	ET
qu'	Cs	QUE
un	Dn	UN
gentilhomme	Nc	GENTILHOMME
comme	S	COMME
moi	Pp	JE
,	Fw	,
ne	Rp	NE
sont	Vuc	ÊTRE
pat	Nc	PAT
à	S	À
cent	Nc	CENT
piques	Vvc	PIQUER
au-dessus	Rg	AU-DESSUS
d'	S	DE
un	Dn	UN
criquet	Nc	CRIQUET
d'	S	DE
Intendant	Ga	Intendant
.	Fs	.
À	Vvc	À
boire	Vvn	BOIRE
!	Fs	!
Moron	Nc	Moron
lui	Pp	IL
verse	Vvc	VERSER
du	S+Da	DE+LE
vin	Nc	VIN
.	Fs	.
À	Vvc	À
votre	Ds	VOTRE
santé	Nc	SANTÉ
,	Fw	,
Madame	Nc	MADAME
la	Pp	IL
Baronne	Vvc	BARONNER
!	Fs	!
À	Vvc	À
votre	Ds	VOTRE
santé	Nc	SANTÉ
,	Fw	,
hauts	Ag	HAUT
et	Cc	ET
puissants	Ag	PUISSANT
Seigneurs	Nc	SEIGNEUR
!	Fs	!
Mes	Ds	MON
Seigneurs	Nc	SEIGNEUR
,	Fw	,
mes	Ds	MON
Compagnons	Nc	COMPAGNON
de	S	DE
voyage	Nc	VOYAGE
.	Fs	.
Grand	Ag	GRAND
bien	Rg	BIEN
vous	Pp	VOUS
fasse	Vvc	FAIRE
,	Fw	,
Monsieur	Nc	MONSIEUR
l'	Da	LE
Intendant	Nc	INTENDANT
.	Fs	.
À	Vvc	À
part	Nc	PART
.	Fs	.
Je	Pp	JE
voudrais	Vvc	VOULOIR
que	Cs	QUE
ce	Pd	CE
fût	Vuc	ÊTRE
là	Rg	LÀ
son	Ds	SON
dernier	Ag	DERNIER
verre	Nc	VERRE
.	Fs	.
Vous	Pp	VOUS
faites	Vvc	FAIRE
sonner	Vvn	SONNER
bien	Rg	BIEN
haut	Rg	HAUT
ce	Dd	CE
nom	Nc	NOM
de	S	DE
Baronne	Nc	BARON|BARONNE
!	Fs	!
Parce	Vvc	Parce
que	Cs	QUE
Madame	Nc	MADAME
est	Vuc	ÊTRE
Baronne	Vvc	BARONNER
,	Fw	,
vous	Pp	VOUS
croyez	Vvc	CROIRE
...	Fs	...
Parlezvplus	Vvc	Parlezvplus
doucement	Rg	DOUCEMENT
,	Fw	,
ma	Ds	MON
mie	Nc	MIE
;	Fw	;
les	Da	LE
Baronnes	Nc	BARON|BARONNE
ont	Vuc	AVOIR
le	Da	LE
droit	Nc	DROIT
de	S	DE
faire	Vvn	FAIRE
mettre	Vvn	METTRE
en	S	EN
prison	Nc	PRISON
les	Da	LE
Aubergistes	Nc	AUBERGISTE
insolentes	Ag	INSOLENT
,	Fw	,
et	Cc	ET
prenez	Vvc	PRENDRE
garde	Nc	GARDE
de	S	DE
ne	Rp	NE
point	Rg	POINT
aller	Vvn	ALLER
y	Pp	Y
passer	Vvn	PASSER
la	Da	LE
nuit	Nc	NUIT
.	Fs	.
Ma	Ds	MON
foi	Nc	FOI
,	Fw	,
Madame	Nc	MADAME
la	Pp	IL
Baronne	Vvc	BARONNER
,	Fw	,
puisque	Cs	PUISQUE
Baronne	Vvc	BARONNER
y	Pp	Y
a	Vuc	AVOIR
,	Fw	,
dussé	Vvc	dussé
-je	Vvc	-je
y	Pp	Y
passer	Vvn	PASSER
ma	Ds	MON
vie	Nc	VIE
,	Fw	,
cela	Pd	CELA
ne	Rp	NE
m'	Pp	JE
empêchera	Vvc	EMPÊCHER
pas	Rg	PAS
de	S	DE
dire	Vvn	DIRE
qu'	Cs	QUE
on	Pp	ON
voit	Vvc	VOIR
dans	S	DANS
le	Da	LE
monde	Nc	MONDE
des	S+Da	DE+LE|DE+LES
gens	Nc	GENS|GENT
bien	Rg	BIEN
ridicules	Ag	RIDICULE
?	Fs	?
Madame	Nc	MADAME
que	Cs	QUE
voilà	S	VOILÀ
est	Vuc	ÊTRE
une	Dn	UN
Lady	Nc	LADY
,	Fw	,
j'	Pp	JE
en	Pp	EN
suis	Vuc	ÊTRE
sûre	Ag	SÛR
,	Fw	,
et	Cc	ET
je	Pp	JE
l'	Pp	IL
aurais	Vuc	AVOIR
deviné	Ge	DEVINER
à	S	À
l'	Da	LE
air	Nc	AIR
de	S	DE
son	Ds	SON
visage	Nc	VISAGE
,	Fw	,
quand	Cs	QUAND
même	Rg	MÊME
ses	Ds	SON
domestiques	Ag	DOMESTIQUE
ne	Rp	NE
me	Pp	JE
l'	Pp	IL
auraient	Vuc	AVOIR
pas	Rg	PAS
dit	Ge	DIRE
;	Fw	;
une	Dn	UN
Lady	Nc	LADY
vaut	Vvc	VALOIR
bien	Rg	BIEN
une	Dn	UN
Baronne	Nc	BARON|BARONNE
,	Fw	,
je	Pp	JE
pense	Vvc	PENSER
;	Fw	;
et	Cc	ET
cependant	Rg	CEPENDANT
,	Fw	,
voyez	Vvc	VOIR
si	Cs	SI
elle	Pp	IL
a	Vuc	AVOIR
fait	Ge	FAIRE
tant	Rg	TANT
de	S	DE
façons	Nc	FAÇON
que	Pr	QUE
vous	Pp	VOUS
autres	Ag	AUTRE
pour	S	POUR
se	Pp	IL
mettre	Vvn	METTRE
à	S	À
table	Nc	TABLE
?	Fs	?
Tenez	Vvc	TENIR
,	Fw	,
Messieurs	Nc	MONSIEUR
,	Fw	,
qui	Pr	QUI
faites	Vvc	FAIRE
tant	Rg	TANT
les	Da	LE
fiers	Ag	FIER
;	Fw	;
