Cela	Pd	CELA
ami	Nc	AMI
,	Fw	,
je	Pp	JE
l’en	Nc	l’en
ai	Vuc	AVOIR
prié	Ge	PRIER
;	Fw	;
il	Pp	IL
n’est	Vvc	n’est
pas	Rg	PAS
si	Rg	SI
impoli	Ag	IMPOLI
que	Cs	QUE
vous	Pp	VOUS
,	Fw	,
il	Pp	IL
n’oserait	Vvc	n’oserait
me	Pp	JE
contredire	Vvn	CONTREDIRE
.	Fs	.
Mais	Cc	MAIS
,	Fw	,
Madame	Nc	MADAME
Blandineau	Nc	Blandineau
,	Fw	,
songez	Vvc	SONGER
...	Fs	...
Ne	Vvc	Ne
vous	Pp	VOUS
gênez	Vvc	GÊNER
point	Rg	POINT
,	Fw	,
mon	Ds	MON
fils	Nc	FIL|FILS
,	Fw	,
si	Cs	SI
la	Da	LE
compagnie	Nc	COMPAGNIE
ne	Rp	NE
vous	Pp	VOUS
plaît	Vvc	PLAIRE
pas	Rg	PAS
,	Fw	,
nous	Pp	NOUS
n’avons	Vvc	n’avons
que	Rg	QUE
faire	Vvn	FAIRE
de	S	DE
vous	Pp	VOUS
,	Fw	,
on	Pp	ON
vous	Pp	VOUS
dispense	Vvc	DISPENSER
d’y	Nc	d’y
être	Vun	ÊTRE
.	Fs	.
Oh	I	OH
,	Fw	,
parbleu	I	PARBLEU
,	Fw	,
j’y	Vvc	j’y
serai	Vuc	ÊTRE
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
en	Pp	EN
réponds	Vvc	RÉPONDRE
,	Fw	,
et	Cc	ET
vous	Pp	VOUS
verrez	Vvc	VOIR
...	Fs	...
Voilà	Vvc	Voilà
une	Dn	UN
maîtresse	Nc	MAÎTRE|MAÎTRESSE
femme	Nc	FEMME
,	Fw	,
Monsieur	Nc	MONSIEUR
,	Fw	,
et	Cc	ET
qui	Pr	QUI
met	Vvc	METTRE
votre	Ds	VOTRE
maison	Nc	MAISON
sur	S	SUR
un	Dn	UN
bon	Ag	BON
pied	Nc	PIED
.	Fs	.
Faire	Vvn	FAIRE
une	Dn	UN
espèce	Nc	ESPÈCE
de	S	DE
Maître	Nc	Maître
d’hôtel	Ag	d’hôtel
d’un	Ag	d’un
Maître	Nc	Maître
Clerc	Vvc	Clerc
?	Fs	?
Cela	Pd	CELA
est	Vuc	ÊTRE
délicatement	Rg	DÉLICATEMENT
imaginé	Ge	IMAGINER
,	Fw	,
au	S+Da	À+LE
moins	Nc	MOINS
.	Fs	.
Il	Pp	IL
ne	Rp	NE
fera	Vvc	FAIRE|FERRER
point	Rg	POINT
cette	Dd	CE
sottise	Nc	SOTTISE
-là	Vvc	-là
,	Fw	,
j’en	Nc	j’en
suis	Vuc	ÊTRE
sûr	Ag	SÛR
.	Fs	.
Il	Pp	IL
la	Pp	IL
fera	Vvc	FAIRE|FERRER
,	Fw	,
Monsieur	Nc	MONSIEUR
,	Fw	,
Madame	Nc	MADAME
et	Cc	ET
lui	Pp	IL
sont	Vuc	ÊTRE
fort	Rg	FORT
bons	Ag	BON
amis	Nc	AMI
,	Fw	,
il	Pp	IL
fait	Vvc	FAIRE
tout	Di	TOUT
ce	Dd	CE
qu’elle	Nc	qu’elle
veut	Vvc	VOULOIR
.	Fs	.
Ne	Rp	NE
trouves	Vvc	TROUVER
-tu	Vvn	-tu
pas	Rg	PAS
que	Cs	QUE
cette	Dd	CE
femme	Nc	FEMME
-là	Ag	-là
devient	Vvc	DEVENIR|DÉVIER
un	Dn	UN
peu	Rg	PEU
folle	Ag	FOU
,	Fw	,
Lisette	Nc	LISETTE
?	Fs	?
Non	Rg	NON
,	Fw	,
Monsieur	Nc	MONSIEUR
,	Fw	,
je	Pp	JE
la	Pp	IL
trouve	Vvc	TROUVER
de	S	DE
fort	Rg	FORT
bon	Ag	BON
esprit	Nc	ESPRIT
,	Fw	,
au	S+Da	À+LE
contraire	Nc	CONTRAIRE
;	Fw	;
elle	Pp	IL
prend	Vvc	PRENDRE
ses	Ds	SON
commodités	Nc	COMMODITÉ
et	Cc	ET
ses	Ds	SON
plaisirs	Nc	PLAISIR
,	Fw	,
et	Cc	ET
vous	Pp	VOUS
avez	Vuc	AVOIR
la	Da	LE
peine	Nc	PEINE
et	Cc	ET
les	Da	LE
chagrins	Ag	CHAGRIN
de	S	DE
tout	Pi	TOUT
.	Fs	.
Qui	Pt	QUI
est	Vuc	ÊTRE
le	Da	LE
plus	Rg	PLUS
fou	Ag	FOU
de	S	DE
vous	Pp	VOUS
deux	Nc	DEUX
?	Fs	?
Oh	I	OH
,	Fw	,
c’est	Nc	c’est
moi	Pp	JE
,	Fw	,
sans	S	SANS
contredit	Nc	CONTREDIT
:	Fw	:
mais	Cc	MAIS
j’ai	Vvc	j’ai
opinion	Nc	OPINION
que	Pr	QUE
c’est	Vvc	c’est
sa	Ds	SON
sœur	Nc	sœur
qui	Pr	QUI
la	Pp	IL
gâte	Vvc	GÂTER
;	Fw	;
et	Cc	ET
je	Pp	JE
voudrais	Vvc	VOULOIR
bien	Rg	BIEN
être	Vun	ÊTRE
débarrassé	Ge	DÉBARRASSER
de	S	DE
cette	Dd	CE
folle	Ag	FOU
-là	Nc	-là
,	Fw	,
sans	S	SANS
être	Vun	ÊTRE
obligé	Ge	OBLIGER
de	S	DE
quereller	Vvn	QUERELLER
avec	S	AVEC
ma	Ds	MON
femme	Nc	FEMME
,	Fw	,
c’est	Nc	c’est
pour	S	POUR
cela	Pd	CELA
que	Pr	QUE
je	Pp	JE
la	Pp	IL
voudrais	Vvc	VOULOIR
marier	Vvn	MARIER
à	S	À
Monsieur	Ag	Monsieur
Naquart	Nc	Naquart
.	Fs	.
Que	Cs	QUE
vous	Pp	VOUS
importe	Vvc	IMPORTER
à	S	À
qui	Pr	QUI
,	Fw	,
pourvu	Ge	POURVOIR
qu’elle	Vvc	qu’elle
soit	Vuc	ÊTRE
mariée	Ge	MARIER
?	Fs	?
Tenez	Vvc	TENIR
,	Fw	,
Monsieur	Nc	MONSIEUR
,	Fw	,
je	Pp	JE
la	Pp	IL
soupçonne	Vvc	SOUPÇONNER
de	S	DE
quelque	Di	QUELQUE
dessein	Nc	DESSEIN
,	Fw	,
dont	Pr	DONT
elle	Pp	IL
aura	Vuc	AVOIR
peine	Nc	PEINE
à	S	À
ne	Rp	NE
me	Pp	JE
pas	Rg	PAS
faire	Vvn	FAIRE
confidence	Nc	CONFIDENCE
.	Fs	.
Laissez	Vvc	LAISSER
-moi	Vvc	-moi
sonder	Vvn	SONDER
un	Dn	UN
peu	Rg	PEU
ses	Ds	SON
sentiments	Nc	SENTIMENT
,	Fw	,
j’aurai	Vvc	j’aurai
soin	Nc	SOIN
de	S	DE
vous	Pp	VOUS
en	S	EN
rendre	Vvn	RENDRE
compte	Nc	COMPTE
.	Fs	.
Hé	Vvc	Hé
bien	Rg	BIEN
,	Fw	,
fais	Vvc	FAIRE
,	Fw	,
Lisette	Nc	LISETTE
:	Fw	:
mais	Cc	MAIS
dépêche	Vvc	DÉPÊCHER
-toI	Vvc	-toI
.	Fs	.
Je	Pp	JE
vais	Vvc	ALLER
trouver	Vvn	TROUVER
Monsieur	Ag	Monsieur
Naquart	Nc	Naquart
,	Fw	,
et	Cc	ET
nous	Pp	NOUS
attendrons	Vvc	ATTENDRE
ensemble	Rg	ENSEMBLE
de	S	DE
tes	Ds	TON
nouvelles	Nc	NOUVEAU|NOUVELLE
.	Fs	.
Allez	I	ALLEZ
,	Fw	,
Monsieur	Nc	MONSIEUR
,	Fw	,
vous	Pp	VOUS
ne	Rp	NE
tarderez	Vvc	TARDER
pas	Rg	PAS
à	S	À
en	Pp	EN
avoir	Vun	AVOIR
,	Fw	,
laissez	Vvc	LAISSER
-moi	Vvc	-moi
faire	Vvn	FAIRE
.	Fs	.
Ce	Dd	CE
Monsieur	Ag	Monsieur
Blandineau	Nc	Blandineau
,	Fw	,
il	Pp	IL
est	Vuc	ÊTRE
à	S	À
plaindre	Vvn	PLAINDRE
.	Fs	.
Mais	Cc	MAIS
,	Fw	,
voici	S	VOICI
une	Dn	UN
petite	Ag	PETIT
personne	Nc	PERSONNE
qui	Pr	QUI
l’est	Vvc	l’est
encore	Rg	ENCORE
plus	Rg	PLUS
que	Cs	QUE
lui	Pp	IL
,	Fw	,
quoique	Cs	QUOIQUE
son	Ds	SON
malheur	Nc	MALHEUR
soit	Vuc	ÊTRE
d’une	Nc	d’une
autre	Ag	AUTRE
nature	Nc	NATURE
.	Fs	.
Quoi	Pt	QUE|QUOI
,	Fw	,
te	Pp	TU
voilà	S	VOILÀ
seule	Ag	SEUL
,	Fw	,
Lisette	Nc	LISETTE
,	Fw	,
et	Cc	ET
tu	Pp	TU
ne	Rp	NE
viens	Vvc	VENIR
pas	Rg	PAS
me	Pp	JE
trouver	Vvn	TROUVER
?	Fs	?
Que	Cs	QUE
tu	Pp	TU
es	Vuc	ÊTRE
cruelle	Ag	CRUEL
de	S	DE
m’abandonner	Nc	m’abandonner
à	S	À
mes	Ds	MON
chagrins	Ag	CHAGRIN
,	Fw	,
et	Cc	ET
de	S	DE
ne	Rp	NE
pas	Rg	PAS
être	Vun	ÊTRE
avec	S	AVEC
moi	Pp	JE
le	Da	LE
plus	Rg	PLUS
souvent	Rg	SOUVENT
qu’il	Nc	qu’il
t’est	Nc	t’est
possible	Ag	POSSIBLE
!	Fs	!
Je	Pp	JE
ne	Rp	NE
puis	Vvc	POUVOIR
pas	Rg	PAS
suffire	Vvn	SUFFIRE
à	S	À
toute	Di	TOUT
la	Da	LE
famille	Nc	FAMILLE
,	Fw	,
c’est	Nc	c’est
à	S	À
qui	Pr	QUI
m’aura	Vvc	m’aura
.	Fs	.
Madame	Nc	MADAME
Blandineau	Nc	Blandineau
,	Fw	,
pour	S	POUR
pester	Vvn	PESTER
contre	S	CONTRE
son	Ds	SON
mari	Nc	MARI
,	Fw	,
le	Da	LE
mari	Nc	MARI
pour	S	POUR
se	Pp	IL
plaindre	Vvn	PLAINDRE
de	S	DE
sa	Ds	SON
femme	Nc	FEMME
:	Fw	:
Madame	Nc	MADAME
la	Pp	IL
Greffière	Vvc	Greffière
,	Fw	,
pour	S	POUR
m’entretenir	Nc	m’entretenir
de	S	DE
son	Ds	SON
ajustement	Nc	AJUSTEMENT
et	Cc	ET
de	S	DE
sas	Nc	SAS
charmes	Nc	CHARME
:	Fw	:
et	Cc	ET
vous	Pp	VOUS
,	Fw	,
pour	S	POUR
parler	Vvn	PARLER
de	S	DE
votre	Ds	VOTRE
amant	Nc	AMANT
.	Fs	.
Voilà	Vvc	Voilà
bien	Rg	BIEN
de	S	DE
l’occupation	Nc	l’occupation
dans	S	DANS
un	Dn	UN
même	Ag	MÊME
ménage	Nc	MÉNAGE
.	Fs	.
Que	Cs	QUE
mes	Ds	MON
tantes	Nc	TANTE
sont	Vuc	ÊTRE
folles	Ag	FOU
,	Fw	,
Lisette	Nc	LISETTE
,	Fw	,
et	Cc	ET
que	Cs	QUE
je	Pp	JE
suis	Vuc	ÊTRE
malheureuse	Ag	MALHEUREUX
de	S	DE
me	Pp	JE
trouver	Vvn	TROUVER
sans	S	SANS
bien	Rg	BIEN
,	Fw	,
sans	S	SANS
autres	Ag	AUTRE
parents	Nc	PARENT
qu’elles	Vvc	qu’elles
seules	Ag	SEUL
,	Fw	,
avec	S	AVEC
autant	Rg	AUTANT
de	S	DE
faiblesse	Nc	FAIBLESSE
pour	S	POUR
un	Dn	UN
amant	Nc	AMANT
aussi	Rg	AUSSI
perfide	Ag	PERFIDE
.	Fs	.
Oh	I	OH
,	Fw	,
pour	S	POUR
moi	Pp	JE
,	Fw	,
je	Pp	JE
ne	Rp	NE
comprends	Vvc	COMPRENDRE
pas	Rg	PAS
comment	Rt	COMMENT
depuis	S	DEPUIS
huit	Nc	HUIT
jours	Nc	JOUR|JOURS
que	Pr	QUE
nous	Pp	NOUS
sommes	Vuc	ÊTRE
ici	Rg	ICI
,	Fw	,
vous	Pp	VOUS
n’avez	Vvc	n’avez
point	Rg	POINT
eu	Ge	AVOIR
de	S	DE
ses	Ds	SON
nouvelles	Nc	NOUVEAU|NOUVELLE
:	Fw	:
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
qu’il	Nc	qu’il
soit	Vuc	ÊTRE
mort	Ge	MOURIR
ou	Cc	OU
malade	Ag	MALADE
.	Fs	.
Il	Pp	IL
est	Vuc	ÊTRE
pis	Nc	PIS
que	Cs	QUE
cela	Pd	CELA
,	Fw	,
Lisette	Nc	LISETTE
,	Fw	,
il	Pp	IL
est	Vuc	ÊTRE
inconstant	Ag	INCONSTANT
.	Fs	.
Quelques	Di	QUELQUE
jours	Nc	JOUR|JOURS
avant	S	AVANT
notre	Ds	NOTRE
départ	Nc	DÉPART
,	Fw	,
il	Pp	IL
te	Pp	TU
souvient	Vvc	SOUVENIR
que	Cs	QUE
nous	Pp	NOUS
le	Pp	IL
vîmes	Vvc	VOIR
dans	S	DANS
ta	Ds	TON
chambre	Nc	CHAMBRE
;	Fw	;
il	Pp	IL
s’y	Vvc	s’y
rendit	Vvc	RENDRE
une	Dn	UN
heure	Nc	HEURE|HURE
plus	Rg	PLUS
tard	Rg	TARD
que	Cs	QUE
de	S	DE
coutume	Nc	COUTUME
,	Fw	,
il	Pp	IL
y	Pp	Y
demeura	Vvc	DEMEURER
beaucoup	Rg	BEAUCOUP
moins	Rg	MOINS
,	Fw	,
il	Pp	IL
était	Vuc	ÊTRE
chagrin	Ag	CHAGRIN
,	Fw	,
inquiet	Ag	INQUIET
,	Fw	,
interdit	Nc	INTERDIT
,	Fw	,
embarrassé	Ge	EMBARRASSER
:	Fw	:
il	Pp	IL
commençait	Vvc	COMMENCER
à	S	À
ne	Rp	NE
me	Pp	JE
plus	Rg	PLUS
aimer	Vvn	AIMER
,	Fw	,
Lisette	Nc	LISETTE
,	Fw	,
et	Cc	ET
l’absence	Nc	l’absence
l’a	Vvc	l’a
fait	Ge	FAIRE
m’oublier	Vvc	m’oublier
tout	Rg	TOUT
à	S	À
fait	Nc	FAIT
.	Fs	.
Si	Cs	SI
cela	Pd	CELA
est	Vuc	ÊTRE
,	Fw	,
ce	Pd	CE
sont	Vuc	ÊTRE
vos	Ds	VOTRE
tantes	Nc	TANTE
qui	Pr	QUI
en	Pp	EN
sont	Vuc	ÊTRE
cause	Nc	CAUSE
.	Fs	.
Que	Cs	QUE
je	Pp	JE
les	Pp	ILS
hais	Vvc	HAÏR
,	Fw	,
Lisette	Nc	LISETTE
!	Fs	!
L’une	Nc	L’une
avait	Vuc	AVOIR
assez	Rg	ASSEZ
de	S	DE
penchant	Ga	PENCHER
pour	S	POUR
lui	Pp	IL
,	Fw	,
à	S	À
la	Da	LE
vérité	Nc	VÉRITÉ
:	Fw	:
mais	Cc	MAIS
elle	Pp	IL
ne	Rp	NE
voulait	Vvc	VOULOIR
pas	Rg	PAS
qu’il	Nc	qu’il
en	Pp	EN
eût	Vuc	AVOIR
pour	S	POUR
vous	Pp	VOUS
.	Fs	.
Oui	Rg	OUI
,	Fw	,
cela	Pd	CELA
est	Vuc	ÊTRE
vrai	Ag	VRAI
,	Fw	,
ma	Ds	MON
tante	Nc	TANTE
la	Pp	IL
Greffière	Vvc	Greffière
,	Fw	,
n’est	Nc	n’est
-ce	Vvc	-ce
pas	Rg	PAS
?	Fs	?
Je	Pp	JE
crois	Vvc	CROIRE|CROÎTRE
qu’elle	Nc	qu’elle
était	Vuc	ÊTRE
amoureuse	Ag	AMOUREUX
de	S	DE
lui	Pp	IL
.	Fs	.
Justement	Rg	JUSTEMENT
,	Fw	,
et	Cc	ET
c’en	Nc	c’en
est	Vuc	ÊTRE
assez	Rg	ASSEZ
pour	S	POUR
faire	Vvn	FAIRE
déserter	Vvn	DÉSERTER
un	Dn	UN
joli	Ag	JOLI
homme	Nc	HOMME
;	Fw	;
outre	Rg	OUTRE
que	Cs	QUE
Madame	Nc	MADAME
Blandineau	Nc	Blandineau
,	Fw	,
de	S	DE
son	Ds	SON
côté	Nc	CÔTÉ
,	Fw	,
qui	Pr	QUI
ne	Rp	NE
veut	Vvc	VOULOIR
point	Rg	POINT
vous	Pp	VOUS
voir	Vvn	VOIR
plus	Rg	PLUS
grande	Ag	GRAND
Dame	Nc	DAME
qu’elle	Vvc	qu’elle
,	Fw	,
a	Vuc	AVOIR
fait	Ge	FAIRE
aussi	Rg	AUSSI
ce	Dd	CE
qu’elle	Nc	qu’elle
a	Vuc	AVOIR
pu	Ge	POUVOIR
,	Fw	,
pour	S	POUR
l’éloigner	Nc	l’éloigner
à	S	À
force	Nc	FORCE|FORCÉ
de	S	DE
brusqueries	Nc	BRUSQUERIE
:	Fw	:
c’est	Nc	c’est
ce	Pd	CE
qui	Pr	QUI
l’a	Vvc	l’a
rebuté	Ge	REBUTER
sur	S	SUR
ma	Ds	MON
parole	Nc	PAROLE
.	Fs	.
Quelle	Dt	QUEL
injustice	Nc	INJUSTICE
!	Fs	!
Et	Cc	ET
que	Cs	QUE
je	Pp	JE
l’aime	Vvc	l’aime
bien	Rg	BIEN
plus	Rg	PLUS
qu’il	Nc	qu’il
ne	Rp	NE
m’aimait	Vvc	m’aimait
!	Fs	!
Plus	Rg	PLUS
on	Pp	ON
me	Pp	JE
défendait	Vvc	DÉFENDRE
de	S	DE
le	Pp	IL
voir	Vvn	VOIR
et	Cc	ET
de	S	DE
lui	Pp	IL
parler	Vvn	PARLER
,	Fw	,
plus	Rg	PLUS
sa	Ds	SON
présence	Nc	PRÉSENCE
et	Cc	ET
sa	Ds	SON
conversation	Nc	CONVERSATION
me	Pp	JE
causaient	Vvc	CAUSER
de	S	DE
joie	Nc	JOIE
et	Cc	ET
de	S	DE
ravissement	Nc	RAVISSEMENT
,	Fw	,
ma	Ds	MON
pauvre	Ag	PAUVRE
Lisette	Nc	LISETTE
.	Fs	.
Il	Pp	IL
y	Pp	Y
a	Vuc	AVOIR
là-dedans	Rg	LÀ-DEDANS
plus	Rg	PLUS
d’opiniâtreté	Ag	d’opiniâtreté
que	Cs	QUE
de	S	DE
constance	Nc	CONSTANCE
.	Fs	.
Non	Rg	NON
,	Fw	,
je	Pp	JE
t’assure	Vvc	t’assure
.	Fs	.
Oh	I	OH
,	Fw	,
si	Rg	SI
fait	Ge	FAIRE
,	Fw	,
si	Rg	SI
fait	Ge	FAIRE
;	Fw	;
vous	Pp	VOUS
êtes	Vuc	ÊTRE
fille	Nc	FILLE
,	Fw	,
et	Cc	ET
le	Da	LE
plaisir	Nc	PLAISIR
de	S	DE
contredire	Vvn	CONTREDIRE
,	Fw	,
fait	Vvc	FAIRE
quelquefois	Rg	QUELQUEFOIS
plus	Rg	PLUS
de	S	DE
la	Da	LE
moitié	Nc	MOITIÉ
de	S	DE
nos	Ds	NOTRE
passions	Nc	PASSION
,	Fw	,
à	S	À
nous	Pp	NOUS
autres	Pi	AUTRE
.	Fs	.
Ah	I	AH
!	Fs	!
Ma	Ds	MON
chère	Ag	CHER
Lisette	Nc	LISETTE
,	Fw	,
voici	I	VOICI
Lolive	Ag	Lolive
.	Fs	.
Son	Ds	SON
maître	Nc	MAÎTRE
n’est	Ag	n’est
point	Rg	POINT
inconstant	Ag	INCONSTANT
.	Fs	.
Que	Cs	QUE
je	Pp	JE
suis	Vuc	ÊTRE
heureuse	Ag	HEUREUX
!	Fs	!
Le	Da	LE
Ciel	Nc	CIEL
en	Pp	EN
soit	Vuc	ÊTRE
loué	Ge	LOUER|LOVER
,	Fw	,
j’en	Nc	j’en
suis	Vuc	ÊTRE
ravie	Ge	RAVIR
.	Fs	.
Je	Pp	JE
suis	Vuc	ÊTRE
bienheureux	Ag	BIENHEUREUX
,	Fw	,
Mademoiselle	Vvc	Mademoiselle
,	Fw	,
de	S	DE
vous	Pp	VOUS
trouver	Vvn	TROUVER
ainsi	Rg	AINSI
d’abord	Nc	d’abord
en	S	EN
arrivant	Ga	ARRIVER
,	Fw	,
avant	S	AVANT
que	Cs	QUE
personne	Pi	PERSONNE
...	Fs	...
Donne	Vvc	DONNER
-moi	Vvc	-moi
tes	Ds	TON
lettres	Nc	LETTRE|LETTRÉ
,	Fw	,
dépêche	Vvc	DÉPÊCHER
.	Fs	.
Je	Pp	JE
n’ai	Vvc	n’ai
point	Rg	POINT
de	S	DE
lettres	Nc	LETTRE|LETTRÉ
à	S	À
vous	Pp	VOUS
donner	Vvn	DONNER
,	Fw	,
Mademoiselle	Vvc	Mademoiselle
.	Fs	.
Tu	Pp	TU
n’as	Vvc	n’as
point	Rg	POINT
de	S	DE
lettres	Nc	LETTRE|LETTRÉ
à	S	À
me	Pp	JE
donner	Vvn	DONNER
?	Fs	?
Qui	Pt	QUI
t’amène	Vvc	t’amène
donc	Rg	DONC
ici	Rg	ICI
?	Fs	?
Que	Pt	QUE
fait	Vvc	FAIRE
ton	Ds	TON
maître	Nc	MAÎTRE
?	Fs	?
La	Da	LE
plus	Rg	PLUS
mauvaise	Ag	MAUVAIS
manœuvre	Vvc	manœuvre
du	S+Da	DE+LE
monde	Nc	MONDE
.	Fs	.
C’est	Nc	C’est
un	Dn	UN
traître	Nc	TRAÎTRE
,	Fw	,
un	Dn	UN
chien	Nc	CHIEN
qui	Pr	QUI
ne	Rp	NE
mérite	Vvc	MÉRITER
pas	Rg	PAS
de	S	DE
vivre	Vvn	VIVRE
,	Fw	,
un	Dn	UN
homme	Nc	HOMME
à	S	À
pendre	Vvn	PENDRE
,	Fw	,
Mademoiselle	Vvc	Mademoiselle
.	Fs	.
Voilà	Vvc	Voilà
un	Dn	UN
bel	Ag	BEAU
éloge	Nc	ÉLOGE
!	Fs	!
Que	Pt	QUE
veux	Vvc	VOULOIR
-tu	Vvc	-tu
donc	Rg	DONC
dire	Vvn	DIRE
?	Fs	?
T’envoie-t-il	Vvc	T’envoie-t-il
ici	Rg	ICI
pour	S	POUR
nous	Pp	NOUS
dire	Vvn	DIRE
cela	Pd	CELA
?	Fs	?
Non	Rg	NON
,	Fw	,
mais	Cc	MAIS
il	Pp	IL
y	Pp	Y
va	Vvc	ALLER
venir	Vvn	VENIR
,	Fw	,
lui	Pp	IL
,	Fw	,
pour	S	POUR
le	Pp	IL
justifier	Vvn	JUSTIFIER
.	Fs	.
Il	Pp	IL
va	Vvc	ALLER
venir	Vvn	VENIR
ici	Rg	ICI
?	Fs	?
Quoi	Pt	QUE|QUOI
faire	Vvn	FAIRE
?	Fs	?
Une	Dn	UN
très	Rg	TRÈS
haute	Ag	HAUT
sottise	Nc	SOTTISE
:	Fw	:
épouser	Vvn	ÉPOUSER
votre	Ds	VOTRE
tante	Nc	TANTE
.	Fs	.
Épouser	Nc	Épouser
ma	Ds	MON
tante	Nc	TANTE
,	Fw	,
Lisette	Nc	LISETTE
!	Fs	!
Épouser	Nc	Épouser
votre	Ds	VOTRE
tante	Nc	TANTE
!	Fs	!
Cela	Pd	CELA
ne	Rp	NE
se	Pp	IL
peut	Vvc	POUVOIR
pas	Rg	PAS
.	Fs	.
Si	Rg	SI
fait	Ge	FAIRE
vraiment	Rg	VRAIMENT
,	Fw	,
ce	Dd	CE
n’est	Nc	n’est
pas	Rg	PAS
celle	Pd	CELUI
qui	Pr	QUI
a	Vuc	AVOIR
son	Ds	SON
mari	Nc	MARI
,	Fw	,
c’est	Nc	c’est
celle	Pd	CELUI
qui	Pr	QUI
est	Vuc	ÊTRE
veuve	Nc	VEUF|VEUVE
,	Fw	,
Madame	Nc	MADAME
la	Pp	IL
Greffière	Vvc	Greffière
;	Fw	;
et	Cc	ET
j’ai	Vvc	j’ai
ici	Rg	ICI
une	Dn	UN
lettre	Nc	LETTRE|LETTRÉ
pour	S	POUR
elle	Pp	IL
que	Cs	QUE
je	Pp	JE
m’en	Nc	m’en
vais	Vvc	ALLER
lui	Pp	IL
rendre	Vvn	RENDRE
au	S+Da	À+LE
plus	Rg	PLUS
vite	Rg	VITE
.	Fs	.
Une	Dn	UN
lettre	Nc	LETTRE|LETTRÉ
pour	S	POUR
elle	Pp	IL
!	Fs	!
Je	Pp	JE
la	Pp	IL
verrai	Vvc	VOIR
,	Fw	,
donne	Vvc	DONNER
.	Fs	.
Non	Rg	NON
,	Fw	,
Mademoiselle	Vvc	Mademoiselle
,	Fw	,
vous	Pp	VOUS
ne	Rp	NE
la	Pp	IL
verrez	Vvc	VOIR
point	Rg	POINT
.	Fs	.
J’ai	Vvc	J’ai
déjà	Rg	DÉJÀ
eu	Ge	AVOIR
cent	Nc	CENT
coups	Nc	COUP
de	S	DE
pied	Nc	PIED
dans	S	DANS
le	Da	LE
ventre	Nc	VENTRE
,	Fw	,
pour	S	POUR
cette	Dd	CE
affaire	Nc	AFFAIRE|AFFAIRÉ
-ci	Ag	-ci
;	Fw	;
il	Pp	IL
est	Vuc	ÊTRE
bon	Ag	BON
de	S	DE
m’en	Nc	m’en
tenir	Vvn	TENIR
là	Rg	LÀ
.	Fs	.
Qu’il	Nc	Qu’il
ne	Rp	NE
s’aperçoive	Vvc	s’aperçoive
pas	Rg	PAS
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
prie	Vvc	PRIER
,	Fw	,
que	Cs	QUE
je	Pp	JE
vous	Pp	VOUS
ai	Vuc	AVOIR
avertie	Ge	AVERTIR
de	S	DE
rien	Pi	RIEN
.	Fs	.
Ma	Ds	MON
tante	Nc	TANTE
est-elle	Ag	est-elle
devenue	Ge	DEVENIR
folle	Ag	FOU
,	Fw	,
de	S	DE
vouloir	Vvn	VOULOIR
épouser	Vvn	ÉPOUSER
Monsieur	Nc	MONSIEUR
le	Da	LE
Comte	Nc	COMTE|COMTÉ
?	Fs	?
Non	Rg	NON
,	Fw	,
c’est	Nc	c’est
Monsieur	Ag	Monsieur
le	Da	LE
Comte	Nc	COMTE|COMTÉ
qui	Pr	QUI
est	Vuc	ÊTRE
devenu	Ge	DEVENIR
fou	Ag	FOU
de	S	DE
vouloir	Vvn	VOULOIR
épouser	Vvn	ÉPOUSER
votre	Ds	VOTRE
tante	Nc	TANTE
.	Fs	.
Cela	Pd	CELA
ne	Rp	NE
sera	Vuc	ÊTRE
point	Rg	POINT
,	Fw	,
Lisette	Nc	LISETTE
,	Fw	,
c’est	Nc	c’est
un	Dn	UN
prétexte	Nc	PRÉTEXTE
qu’il	Nc	qu’il
,	Fw	,
prend	Vvc	PRENDRE
pour	S	POUR
s’approcher	Nc	s’approcher
de	S	DE
moI	Vvc	moI
.	Fs	.
Il	Pp	IL
trompe	Vvc	TROMPER
ma	Ds	MON
tante	Nc	TANTE
;	Fw	;
ma	Ds	MON
tante	Nc	TANTE
aime	Vvc	AIMER
à	S	À
se	Pp	IL
flatter	Vvn	FLATTER
,	Fw	,
cela	Pd	CELA
tournera	Vvc	TOURNER
tout	Rg	TOUT
autrement	Rg	AUTREMENT
que	Cs	QUE
tu	Pp	TU
te	Pp	TU
l’imagines	Vvc	l’imagines
.	Fs	.
Vous	Pp	VOUS
aimez	Vvc	AIMER
à	S	À
vous	Pp	VOUS
flatter	Vvn	FLATTER
vous	Pp	VOUS
-même	Vvc	-même
.	Fs	.
Il	Pp	IL
n’importe	Vvc	n’importe
,	Fw	,
ne	Rp	NE
me	Pp	JE
détrompe	Vvc	DÉTROMPER
point	Rg	POINT
,	Fw	,
ma	Ds	MON
chère	Ag	CHER
Lisette	Nc	LISETTE
;	Fw	;
je	Pp	JE
vais	Vvc	ALLER
attendre	Vvn	ATTENDRE
Monsieur	Nc	MONSIEUR
le	Da	LE
Comte	Nc	COMTE|COMTÉ
à	S	À
l’entrée	Nc	l’entrée
du	S+Da	DE+LE
Village	Nc	VILLAGE
,	Fw	,
je	Pp	JE
veux	Vvc	VOULOIR
lui	Pp	IL
parler	Vvn	PARLER
la	Da	LE
première	Nc	PREMIER|PREMIÈRE
